case_id,Country_Code,open_date,close_date,activation_date,removal_date,product_type,record_type,stage,id,status,create_date,scheduled_date,fulfilled_date,type,vendor,region,cycle_time
155392792-3,FR,,,,,Apt Locker Pro,Location,Install,580729958-2,Scheduled,2/7/24,2/10/24,,Install,Redbox,FR,
257728367-9,MX,,,,,Apt Locker Pro,Location,,195284055-4,Scheduled,5/14/24,5/18/24,,Decommission,Redbox,MX,
668397791-7,IT,,,,,Locker,Location Locker/Counter NA,Install,624878013-7,Scheduled,1/16/24,1/21/24,,Install,Redbox,IT,
023463498-7,US,,,,,Apt Locker,Dobby NA,,901414277-3,Scheduled,1/25/24,1/26/24,,Advertising,NSA,US,
035340788-7,IT,,,,,Apt Locker,Dobby NA,Survey,100548539-9,Cancelled,5/11/24,5/15/24,,Survey,NSA,IT,
764377883-3,PT,,,,,Apt Locker,Dobby,,548398557-5,Cancelled,2/5/24,2/9/24,,Advertising,Redbox,PT,
451893928-X,CA,,,,,Apt Locker,Dobby,Compliance,930714398-6,New,4/20/24,,,Permit,NSA,CA,
872830190-0,CA,,,,,Apt Locker Pro,Location,,688554590-2,Scheduled,3/14/24,3/19/24,,Advertising,Brendamour,CA,
394110881-6,CA,,,,,Apt Locker,Dobby NA,Compliance,814240668-3,Scheduled,2/20/24,2/22/24,,Permit,NSA,CA,
843209518-4,ES,,,,,Apt Locker,Dobby,Compliance,414565347-5,Failure,1/30/24,1/31/24,,Permit,NSA,ES,
219478799-2,US,,,,,Apt Locker,Dobby NA,Install,392784747-X,Scheduled,4/6/24,4/7/24,,Install,Redbox,US,
891409189-9,AT,,,,,Apt Locker,Dobby,Compliance,395280339-1,Failure,3/6/24,3/7/24,,Permit,Redbox,AT,
182380899-9,AU,,,,,Apt Locker Pro,Location,Survey,828415076-X,Complete,4/26/24,4/27/24,5/5/24,Survey,Redbox,AU,9
949753500-7,US,,,,,Apt Locker,Dobby,Compliance,233535134-6,Fulfilled,4/9/24,4/10/24,4/18/24,Permit,NSA,US,9
041387224-6,FR,,,,,Apt Locker,Dobby NA,Compliance,727702780-9,Fulfilled,4/9/24,4/11/24,4/19/24,Permit,Redbox,FR,10
671680211-8,IT,,,,,Locker,Location Locker/Counter NA,Compliance,747703912-6,New,1/23/24,,,Permit,Brendamour,IT,
520120858-4,JP,,,,,Locker,Location Locker/Counter NA,Survey,129794019-9,Failure,2/28/24,3/4/24,,Survey,NSA,JP,
048541483-X,PT,,,,,Apt Locker,Dobby NA,Compliance,358466817-4,Failure,4/22/24,4/26/24,,Permit,Brendamour,PT,
121560317-7,IT,,,,,Apt Locker Pro,Location,Survey,218667936-1,New,2/22/24,,,Survey,Redbox,IT,
569387567-9,PT,,45370,45370,45370,Apt Locker Pro,Location,Closed,139097568-1,Fulfilled,3/13/24,3/15/24,3/19/24,Removal,Brendamour,PT,6
514402561-7,PT,,,,,Apt Locker,Dobby NA,Install,660543507-9,New,3/1/24,,,Install,NSA,PT,
619458207-3,MX,,45363,45363,45363,Locker,Location Locker/Counter NA,Closed,986673090-5,Complete,2/20/24,2/23/24,3/12/24,Removal,Redbox,MX,21
175368792-6,US,,,,,Locker,Location Locker/Counter NA,Survey,669614987-2,Failure,4/12/24,4/14/24,,Survey,Redbox,US,
459597190-7,FR,,,,,Apt Locker Pro,Location,,969663837-X,Cancelled,2/17/24,2/20/24,,Removal,NSA,FR,
804820937-3,ES,,,,,Apt Locker,Dobby NA,,369548521-3,Cancelled,4/10/24,4/12/24,,Decommission,Redbox,ES,
229357406-7,IT,,,,,Apt Locker Pro,Location,,732799153-0,New,4/22/24,,,Removal,NSA,IT,
591487411-4,AU,,,,,Apt Locker,Dobby,Install,913286699-2,New,4/8/24,,,Install,NSA,AU,
885559877-5,AT,,45382,45382,,Apt Locker,Dobby NA,Closed,684733319-7,Complete,3/2/24,3/7/24,3/31/24,Install,Redbox,AT,29
160840191-X,CA,,,,,Apt Locker,Dobby NA,,723632788-3,New,4/4/24,,,Decommission,Redbox,CA,
730635168-0,MX,,,,,Locker,Location Locker/Counter,Compliance,251609273-3,Scheduled,3/3/24,3/5/24,,Permit,Redbox,MX,
878619325-2,PT,,45336,45336,45336,Apt Locker Pro,Location,Closed,335498432-5,Fulfilled,1/27/24,2/1/24,2/14/24,Removal,Redbox,PT,18
359225034-5,ES,,,,,Locker,Location Locker/Counter,,609590909-0,Cancelled,5/30/24,6/2/24,,Removal,Redbox,ES,
432643023-0,MX,,,,,Apt Locker,Dobby NA,Compliance,385975328-2,New,4/6/24,,,Permit,NSA,MX,
139956745-4,IT,,,,,Apt Locker Pro,Location,Survey,727550094-9,Failure,5/31/24,6/5/24,,Survey,Brendamour,IT,
798965169-6,JP,,,,,Apt Locker,Dobby,,246211214-6,Failure,4/29/24,5/3/24,,Advertising,Redbox,JP,
872866385-3,JP,,,,,Locker,Location Locker/Counter NA,Compliance,316743424-4,Fulfilled,3/5/24,3/9/24,3/14/24,Permit,Brendamour,JP,9
105834624-5,US,,,,,Apt Locker Pro,Location,,831392587-6,Failure,5/4/24,5/7/24,,Removal,Redbox,US,
157151806-1,AU,,45328,45328,45328,Apt Locker,Dobby NA,Closed,990202970-1,Fulfilled,1/29/24,2/1/24,2/6/24,Removal,Brendamour,AU,8
032829172-2,FR,,,,,Apt Locker,Dobby,,093172689-1,Scheduled,5/11/24,5/13/24,,Removal,Brendamour,FR,
697639771-X,AT,,,,,Locker,Location Locker/Counter NA,Survey,386172754-4,New,2/19/24,,,Survey,Redbox,AT,
592151775-5,FR,,,,,Apt Locker Pro,Location,,600453123-5,New,2/24/24,,,Removal,Redbox,FR,
858876638-8,CA,,,,,Apt Locker,Dobby NA,Compliance,635113119-7,Complete,5/6/24,5/11/24,5/18/24,Permit,Brendamour,CA,12
220652978-5,CA,,,,,Locker,Location Locker/Counter,Install,588732484-8,Failure,2/29/24,3/1/24,,Install,NSA,CA,
697622303-7,AU,,45474,45474,,Apt Locker,Dobby,Closed,337562111-6,Complete,5/23/24,5/26/24,7/1/24,Install,NSA,AU,39
043055674-8,FR,,,,,Apt Locker,Dobby NA,,771420719-1,New,4/26/24,,,Advertising,Redbox,FR,
821160884-7,AU,,,,,Locker,Location Locker/Counter,,550699548-2,New,3/22/24,,,Decommission,NSA,AU,
274945294-5,MX,,,,,Apt Locker,Dobby,,299623321-2,Scheduled,2/17/24,2/20/24,,Advertising,Redbox,MX,
789798939-9,AU,,,,,Apt Locker,Dobby,Install,326099938-8,New,4/30/24,,,Install,NSA,AU,
679810958-6,DE,,,,,Apt Locker,Dobby,Survey,198216455-7,New,5/15/24,,,Survey,Brendamour,DE,
623145831-8,AT,,45364,45364,45364,Apt Locker,Dobby NA,Closed,047128841-1,Fulfilled,3/2/24,3/6/24,3/13/24,Decommission,Redbox,AT,11
407575828-1,CA,,,,,Locker,Location Locker/Counter NA,Survey,466501895-2,Scheduled,1/30/24,1/31/24,,Survey,Redbox,CA,
186008359-5,MX,,,,,Locker,Location Locker/Counter,Install,327040138-8,Cancelled,4/12/24,4/16/24,,Install,NSA,MX,
452245561-5,FR,,,,,Apt Locker Pro,Location,Survey,268360614-1,Fulfilled,1/9/24,1/12/24,1/21/24,Survey,Brendamour,FR,12
420933752-8,JP,,,,,Apt Locker,Dobby NA,,576590127-1,Failure,2/23/24,2/28/24,,Decommission,NSA,JP,
251624909-8,JP,,,,,Apt Locker,Dobby NA,Compliance,008446387-2,New,1/27/24,,,Permit,Redbox,JP,
871321250-8,CA,,,,,Apt Locker,Dobby NA,,842226385-8,Scheduled,4/11/24,4/14/24,,Removal,Brendamour,CA,
107440856-X,IT,,,,,Apt Locker,Dobby NA,,416619135-7,Failure,1/4/24,1/8/24,,Removal,Brendamour,IT,
776313641-3,AU,,,,,Apt Locker,Dobby,Survey,405182592-2,Scheduled,4/19/24,4/23/24,,Survey,Brendamour,AU,
988869417-0,MX,,,,,Apt Locker,Dobby,Survey,507593229-0,Scheduled,1/4/24,1/5/24,,Survey,Brendamour,MX,
734233656-4,PT,,,,,Apt Locker Pro,Location,Survey,856853717-0,Fulfilled,4/2/24,4/7/24,4/19/24,Survey,Brendamour,PT,17
559719868-8,IT,,45325,45325,45325,Apt Locker Pro,Location,Closed,798030816-6,Complete,1/24/24,1/28/24,2/3/24,Removal,Brendamour,IT,10
982138106-5,AU,,,,,Apt Locker Pro,Location,,938851839-X,Scheduled,4/6/24,4/8/24,,Advertising,Brendamour,AU,
711070126-3,AT,,,,,Locker,Location Locker/Counter,Compliance,782415617-6,Cancelled,4/25/24,4/29/24,,Permit,Redbox,AT,
192442060-0,AT,,,,,Apt Locker Pro,Location,Compliance,924783481-3,Scheduled,4/4/24,4/8/24,,Permit,Redbox,AT,
071017134-X,US,,,,,Locker,Location Locker/Counter,,749234580-1,Scheduled,2/13/24,2/17/24,,Removal,Brendamour,US,
042913886-5,PT,,,,,Apt Locker Pro,Location,,007613320-6,Scheduled,1/18/24,1/20/24,,Removal,Redbox,PT,
666987707-2,AT,,,,,Apt Locker Pro,Location,,026412226-7,New,1/5/24,,,Removal,Brendamour,AT,
537845022-5,MX,,,,,Locker,Location Locker/Counter,Compliance,748295996-3,New,1/13/24,,,Permit,Redbox,MX,
313418224-6,US,,,,,Locker,Location Locker/Counter NA,Compliance,994343813-4,Complete,2/4/24,2/6/24,2/21/24,Permit,NSA,US,17
742805019-7,AT,,,,,Apt Locker,Dobby,Survey,680219123-7,Complete,12/31/23,1/2/24,1/11/24,Survey,Redbox,AT,11
815039695-0,US,,,,,Apt Locker Pro,Location,Install,382284274-5,Cancelled,5/1/24,5/4/24,,Install,Redbox,US,
136673945-0,US,,,,,Apt Locker,Dobby,Compliance,014040164-4,Failure,1/11/24,1/14/24,,Permit,Redbox,US,
906355538-5,FR,,,,,Apt Locker,Dobby NA,,533902561-6,Scheduled,3/23/24,3/27/24,,Removal,NSA,FR,
596927059-8,AU,,,,,Apt Locker Pro,Location,Survey,523874115-4,Complete,4/20/24,4/25/24,5/7/24,Survey,Redbox,AU,17
101776141-8,FR,,,,,Locker,Location Locker/Counter,,055041482-7,Cancelled,2/11/24,2/15/24,,Advertising,Redbox,FR,
004691897-3,MX,,,,,Apt Locker,Dobby NA,,307110331-X,Failure,3/14/24,3/16/24,,Advertising,Redbox,MX,
397534802-X,FR,,,,,Apt Locker,Dobby,,964153518-8,Failure,5/13/24,5/18/24,,Removal,NSA,FR,
114291459-3,AT,,,,,Locker,Location Locker/Counter NA,,902449890-2,Cancelled,5/31/24,6/2/24,,Decommission,Brendamour,AT,
829858531-3,CA,,,,,Apt Locker,Dobby,Install,252435379-6,New,5/16/24,,,Install,NSA,CA,
816456025-1,MX,,,,,Apt Locker,Dobby,Install,503431851-2,Cancelled,3/24/24,3/25/24,,Install,Redbox,MX,
710122717-1,ES,,,,,Locker,Location Locker/Counter NA,Install,132721672-8,Cancelled,2/11/24,2/14/24,,Install,Brendamour,ES,
317841009-0,AT,,,,,Apt Locker,Dobby NA,,382821455-X,Cancelled,2/11/24,2/12/24,,Removal,Redbox,AT,
901433583-0,JP,,,,,Locker,Location Locker/Counter NA,Compliance,041502985-6,Scheduled,5/31/24,6/4/24,,Permit,NSA,JP,
441939870-1,ES,,,,,Apt Locker,Dobby NA,Compliance,524673238-X,Failure,3/18/24,3/21/24,,Permit,NSA,ES,
306313424-4,FR,,,,,Apt Locker,Dobby NA,,475284853-8,Complete,1/2/24,1/4/24,1/8/24,Advertising,NSA,FR,6
401844024-3,DE,,,,,Locker,Location Locker/Counter NA,Survey,217503832-7,Scheduled,2/9/24,2/12/24,,Survey,Brendamour,DE,
295284823-8,MX,,45450,45450,,Apt Locker,Dobby NA,Closed,519923533-8,Complete,5/18/24,5/21/24,6/7/24,Install,Brendamour,MX,20
280086571-7,US,,,,,Apt Locker,Dobby,,115809746-8,Cancelled,4/13/24,4/15/24,,Removal,NSA,US,
970110924-4,CA,,,,,Apt Locker,Dobby,Survey,833552612-5,Cancelled,1/13/24,1/14/24,,Survey,Redbox,CA,
238892080-9,DE,,,,,Apt Locker Pro,Location,Compliance,141748966-9,Failure,2/11/24,2/15/24,,Permit,Brendamour,DE,
010671232-2,JP,,,,,Apt Locker,Dobby,Compliance,387270759-0,Cancelled,5/18/24,5/21/24,,Permit,Brendamour,JP,
721501852-0,DE,,,,,Locker,Location Locker/Counter,Compliance,874064097-3,Cancelled,2/22/24,2/24/24,,Permit,Redbox,DE,
778705345-3,PT,,45356,45356,,Apt Locker,Dobby NA,Closed,695728181-7,Complete,1/30/24,2/2/24,3/5/24,Install,NSA,PT,35
396344698-6,ES,,,,,Locker,Location Locker/Counter,,318770808-0,Scheduled,5/27/24,6/1/24,,Decommission,Brendamour,ES,
819019061-X,ES,,,,,Locker,Location Locker/Counter NA,Survey,203301100-3,Scheduled,4/1/24,4/3/24,,Survey,Redbox,ES,
072085683-3,JP,,,,,Apt Locker,Dobby NA,Install,362596700-6,Cancelled,1/22/24,1/25/24,,Install,Brendamour,JP,
220001314-0,JP,,,,,Locker,Location Locker/Counter NA,Survey,661361373-8,Complete,3/26/24,3/30/24,4/8/24,Survey,Redbox,JP,13
336619963-6,DE,,,,,Apt Locker,Dobby NA,,769265817-X,Scheduled,2/5/24,2/9/24,,Advertising,Redbox,DE,
311600336-X,DE,,,,,Locker,Location Locker/Counter NA,,312014671-4,New,4/4/24,,,Removal,Redbox,DE,
785583155-X,US,,,,,Locker,Location Locker/Counter NA,,817469110-3,Failure,2/10/24,2/13/24,,Advertising,Redbox,US,
258214502-5,DE,,,,,Locker,Location Locker/Counter,,156421340-4,Scheduled,2/12/24,2/15/24,,Decommission,Brendamour,DE,
680703286-2,US,,,,,Apt Locker Pro,Location,Survey,351016342-7,Fulfilled,4/8/24,4/12/24,4/16/24,Survey,NSA,US,8
188840199-0,IT,,,,,Locker,Location Locker/Counter,,343078986-9,Cancelled,5/24/24,5/28/24,,Advertising,Brendamour,IT,
710306562-4,JP,,,,,Apt Locker,Dobby,Compliance,339471939-8,Cancelled,3/3/24,3/4/24,,Permit,NSA,JP,
028199524-9,FR,,,,,Apt Locker Pro,Location,,603508904-6,Failure,4/23/24,4/24/24,,Removal,Redbox,FR,
655469237-1,FR,,,,,Apt Locker,Dobby,,246501977-5,New,2/26/24,,,Removal,Brendamour,FR,
945928008-0,MX,,,,,Apt Locker,Dobby NA,Compliance,020686455-8,Failure,1/20/24,1/22/24,,Permit,Brendamour,MX,
831232501-8,AT,,,,,Apt Locker Pro,Location,Survey,862127642-9,New,2/12/24,,,Survey,Brendamour,AT,
272417459-3,AU,,,,,Locker,Location Locker/Counter,,564471148-X,New,2/8/24,,,Decommission,Redbox,AU,
046851238-1,DE,,,,,Apt Locker Pro,Location,Survey,823595489-3,New,5/21/24,,,Survey,Redbox,DE,
712870283-0,FR,,,,,Locker,Location Locker/Counter NA,Compliance,787531772-X,Cancelled,3/30/24,4/4/24,,Permit,Redbox,FR,
574814003-9,CA,,,,,Apt Locker,Dobby,,109954342-8,Scheduled,1/25/24,1/26/24,,Advertising,Redbox,CA,
500993060-9,PT,,,,,Apt Locker Pro,Location,,490398011-1,Cancelled,5/16/24,5/18/24,,Advertising,Brendamour,PT,
903169397-9,JP,,,,,Apt Locker,Dobby,,431415322-9,Fulfilled,1/10/24,1/12/24,1/20/24,Advertising,Redbox,JP,10
086678626-0,AT,,,,,Locker,Location Locker/Counter,Compliance,435441838-X,Scheduled,3/20/24,3/25/24,,Permit,Brendamour,AT,
244714678-7,FR,,,,,Locker,Location Locker/Counter NA,Survey,148928105-3,Cancelled,3/13/24,3/16/24,,Survey,Brendamour,FR,
693132947-2,AU,,,,,Locker,Location Locker/Counter,,739473107-3,New,5/5/24,,,Decommission,Brendamour,AU,
453979853-7,DE,,,,,Apt Locker,Dobby,Install,750672335-2,Scheduled,1/16/24,1/21/24,,Install,NSA,DE,
819561287-3,US,,,,,Locker,Location Locker/Counter NA,Compliance,172237565-5,Failure,2/16/24,2/21/24,,Permit,NSA,US,
095588826-3,AU,,,,,Apt Locker,Dobby,Survey,902353036-5,Cancelled,4/22/24,4/23/24,,Survey,Redbox,AU,
453796504-5,MX,,,,,Locker,Location Locker/Counter NA,Compliance,274272589-X,Failure,2/7/24,2/11/24,,Permit,Brendamour,MX,
932509193-3,PT,,45379,45379,45379,Apt Locker,Dobby NA,Closed,863083927-9,Fulfilled,3/9/24,3/13/24,3/28/24,Removal,Redbox,PT,19
393435100-X,FR,,,,,Locker,Location Locker/Counter NA,Install,822445822-9,Failure,2/13/24,2/16/24,,Install,Brendamour,FR,
632991544-X,IT,,,,,Apt Locker,Dobby NA,Compliance,743913121-5,Complete,4/17/24,4/19/24,5/1/24,Permit,Brendamour,IT,14
874439773-9,PT,,45387,45387,45387,Locker,Location Locker/Counter NA,Closed,449280144-8,Complete,3/26/24,3/28/24,4/5/24,Decommission,NSA,PT,10
614384358-9,US,,,,,Locker,Location Locker/Counter NA,Install,932264905-4,Cancelled,1/24/24,1/25/24,,Install,Redbox,US,
756677294-5,FR,,,,,Apt Locker,Dobby,,459688961-9,New,2/17/24,,,Decommission,Brendamour,FR,
915957403-8,DE,,,,,Apt Locker Pro,Location,Compliance,920594274-X,Complete,4/27/24,5/1/24,5/19/24,Permit,NSA,DE,22
900423661-9,MX,,,,,Apt Locker,Dobby NA,Install,677394285-3,Cancelled,1/27/24,2/1/24,,Install,NSA,MX,
395920293-8,PT,,45315,45315,45315,Locker,Location Locker/Counter NA,Closed,689411398-X,Complete,1/9/24,1/14/24,1/24/24,Decommission,Brendamour,PT,15
120678704-X,CA,,45418,45418,45418,Apt Locker,Dobby,Closed,404641475-8,Complete,4/15/24,4/18/24,5/6/24,Decommission,NSA,CA,21
033194100-7,JP,,,,,Apt Locker,Dobby,Compliance,912699342-2,Fulfilled,1/25/24,1/26/24,2/8/24,Permit,Brendamour,JP,14
475216488-4,PT,,,,,Apt Locker,Dobby,,695887581-8,Complete,4/22/24,4/26/24,5/14/24,Advertising,Brendamour,PT,22
483028804-3,DE,,,,,Apt Locker,Dobby NA,,186365992-7,Failure,2/26/24,3/2/24,,Decommission,NSA,DE,
478733748-3,AT,,,,,Locker,Location Locker/Counter,Compliance,359318725-6,Scheduled,5/1/24,5/3/24,,Permit,NSA,AT,
732944273-9,AT,,,,,Locker,Location Locker/Counter NA,Compliance,236683355-5,New,5/18/24,,,Permit,Redbox,AT,
335218982-X,DE,,,,,Locker,Location Locker/Counter,,783980906-5,Cancelled,1/14/24,1/15/24,,Advertising,Redbox,DE,
607020584-7,ES,,,,,Apt Locker Pro,Location,Survey,830045720-8,Scheduled,2/12/24,2/17/24,,Survey,NSA,ES,
556386986-5,IT,,,,,Apt Locker,Dobby NA,,961848421-1,Cancelled,2/25/24,2/29/24,,Removal,Redbox,IT,
488453924-9,IT,,,,,Locker,Location Locker/Counter,Compliance,601252544-3,Cancelled,4/24/24,4/29/24,,Permit,Redbox,IT,
679580128-4,MX,,45417,45417,45417,Apt Locker,Dobby,Closed,675698546-9,Complete,4/22/24,4/25/24,5/5/24,Decommission,Redbox,MX,13
831893594-2,ES,,,,,Apt Locker,Dobby,Compliance,137750358-5,Complete,4/20/24,4/21/24,4/28/24,Permit,Redbox,ES,8
798168636-9,US,,,,,Locker,Location Locker/Counter,,692691715-9,Cancelled,4/13/24,4/18/24,,Removal,Redbox,US,
804289401-5,JP,,45425,45425,,Locker,Location Locker/Counter NA,Closed,026429837-3,Complete,4/27/24,5/1/24,5/13/24,Install,NSA,JP,16
284522709-4,DE,,45421,45421,,Apt Locker,Dobby NA,Closed,927948026-X,Complete,4/17/24,4/22/24,5/9/24,Install,Redbox,DE,22
718747626-4,AT,,,,,Apt Locker Pro,Location,,457323642-2,Failure,3/1/24,3/2/24,,Decommission,Brendamour,AT,
164922924-0,AU,,45397,45397,,Apt Locker Pro,Location,Closed,694456932-9,Complete,3/13/24,3/17/24,4/15/24,Install,NSA,AU,33
580905225-8,AU,,,,,Locker,Location Locker/Counter NA,,352990903-3,New,4/24/24,,,Decommission,NSA,AU,
831979324-6,AU,,,,,Locker,Location Locker/Counter NA,,758335729-2,Scheduled,2/23/24,2/27/24,,Decommission,Brendamour,AU,
318629820-2,JP,,,,,Apt Locker Pro,Location,Compliance,817118372-7,Complete,5/24/24,5/26/24,6/7/24,Permit,Brendamour,JP,14
120585461-4,JP,,,,,Apt Locker,Dobby NA,Install,155688741-8,Scheduled,4/19/24,4/23/24,,Install,NSA,JP,
324865721-9,JP,,,,,Locker,Location Locker/Counter,Compliance,495696404-8,Fulfilled,5/29/24,6/2/24,6/13/24,Permit,Redbox,JP,15
733096479-4,CA,,45461,45461,45461,Apt Locker Pro,Location,Closed,855119916-1,Fulfilled,5/30/24,6/3/24,6/18/24,Decommission,NSA,CA,19
538966067-6,MX,,45391,45391,45391,Apt Locker Pro,Location,Closed,653267227-0,Complete,3/24/24,3/25/24,4/9/24,Removal,Redbox,MX,16
784684936-0,CA,,,,,Apt Locker,Dobby,,888997629-2,Fulfilled,2/15/24,2/19/24,3/5/24,Advertising,NSA,CA,19
834841223-9,FR,,,,,Apt Locker Pro,Location,Survey,313228641-9,Complete,3/24/24,3/27/24,4/5/24,Survey,Brendamour,FR,12
768843110-7,CA,,45364,45364,45364,Apt Locker,Dobby,Closed,989199456-2,Fulfilled,2/26/24,2/28/24,3/13/24,Decommission,Brendamour,CA,16
623853887-2,FR,,,,,Locker,Location Locker/Counter,,408881492-4,New,1/24/24,,,Decommission,NSA,FR,
254600856-0,CA,,,,,Apt Locker,Dobby,Compliance,378792042-0,Cancelled,1/8/24,1/10/24,,Permit,Brendamour,CA,
804074613-2,MX,,45337,45337,45337,Apt Locker Pro,Location,Closed,384767046-8,Fulfilled,1/29/24,1/31/24,2/15/24,Decommission,Brendamour,MX,17
137362511-2,ES,,45416,45416,,Apt Locker Pro,Location,Closed,894238599-0,Fulfilled,4/3/24,4/6/24,5/4/24,Install,Redbox,ES,31
568625273-4,FR,,,,,Apt Locker,Dobby,,007684153-7,New,2/28/24,,,Removal,Redbox,FR,
166618127-7,US,,45446,45446,45446,Locker,Location Locker/Counter NA,Closed,859427443-2,Complete,5/15/24,5/20/24,6/3/24,Decommission,Redbox,US,19
573712975-6,DE,,,,,Apt Locker,Dobby NA,Survey,926322461-7,Failure,4/10/24,4/15/24,,Survey,Brendamour,DE,
209878671-9,JP,,,,,Locker,Location Locker/Counter,Compliance,936673088-4,Fulfilled,4/15/24,4/19/24,5/2/24,Permit,Redbox,JP,17
015707125-1,JP,,,,,Locker,Location Locker/Counter NA,,552169885-X,Scheduled,3/31/24,4/1/24,,Decommission,Brendamour,JP,
829378131-9,PT,,,,,Apt Locker Pro,Location,,894832503-5,New,2/28/24,,,Advertising,Brendamour,PT,
092332523-9,IT,,,,,Apt Locker,Dobby NA,Install,478706259-X,Cancelled,2/14/24,2/15/24,,Install,Redbox,IT,
338512891-9,JP,,,,,Locker,Location Locker/Counter NA,,842433183-4,Fulfilled,5/1/24,5/2/24,5/17/24,Advertising,Redbox,JP,16
364827131-8,JP,,,,,Apt Locker,Dobby,,929850474-8,Scheduled,2/14/24,2/18/24,,Removal,Brendamour,JP,
174365697-1,IT,,,,,Apt Locker Pro,Location,,401791929-4,Cancelled,2/7/24,2/10/24,,Removal,NSA,IT,
820608498-3,ES,,45375,45375,,Locker,Location Locker/Counter NA,Closed,293651469-X,Fulfilled,2/21/24,2/25/24,3/24/24,Install,NSA,ES,32
899654614-3,PT,,,,,Apt Locker,Dobby NA,Install,443261945-7,Cancelled,2/21/24,2/23/24,,Install,Brendamour,PT,
040602885-0,AT,,,,,Locker,Location Locker/Counter NA,,897168620-0,Scheduled,3/29/24,4/2/24,,Decommission,NSA,AT,
779964864-3,AU,,,,,Apt Locker,Dobby NA,Survey,946434981-6,Cancelled,3/6/24,3/7/24,,Survey,Redbox,AU,
430366158-9,AT,,,,,Locker,Location Locker/Counter NA,,520450115-0,Fulfilled,4/23/24,4/24/24,5/5/24,Advertising,Redbox,AT,12
933592562-4,MX,,45425,45425,45425,Apt Locker,Dobby,Closed,918841172-9,Complete,5/4/24,5/8/24,5/13/24,Decommission,Redbox,MX,9
785901544-7,AT,,,,,Apt Locker Pro,Location,,136425457-3,Scheduled,5/6/24,5/11/24,,Advertising,Redbox,AT,
460490666-1,US,,,,,Apt Locker Pro,Location,Survey,575573624-3,Failure,3/26/24,3/31/24,,Survey,NSA,US,
438897801-9,AU,,,,,Apt Locker,Dobby NA,,223276854-6,New,1/6/24,,,Advertising,Redbox,AU,
332410874-8,MX,,,,,Apt Locker,Dobby,Install,631610190-2,Cancelled,4/7/24,4/9/24,,Install,NSA,MX,
748140638-3,JP,,,,,Locker,Location Locker/Counter,,234584236-9,New,5/21/24,,,Removal,NSA,JP,
752303841-7,AT,,,,,Apt Locker Pro,Location,Survey,727742572-3,Failure,5/23/24,5/26/24,,Survey,NSA,AT,
520736906-7,PT,,45375,45375,,Locker,Location Locker/Counter NA,Closed,229670817-X,Fulfilled,3/4/24,3/7/24,3/24/24,Install,Brendamour,PT,20
498440339-X,IT,,,,,Apt Locker,Dobby NA,,832779030-7,Cancelled,2/16/24,2/20/24,,Removal,Redbox,IT,
161931442-8,CA,,45442,45442,,Locker,Location Locker/Counter,Closed,616021394-6,Complete,5/6/24,5/8/24,5/30/24,Install,Brendamour,CA,24
880077690-6,DE,,,,,Apt Locker Pro,Location,Compliance,436571074-5,New,3/13/24,,,Permit,Brendamour,DE,
728787679-5,US,,45432,45432,45432,Apt Locker Pro,Location,Closed,559023274-0,Complete,5/15/24,5/16/24,5/20/24,Removal,NSA,US,5
747361416-9,JP,,,,,Apt Locker Pro,Location,,204408709-X,Cancelled,2/21/24,2/23/24,,Removal,NSA,JP,
495885081-3,MX,,45372,45372,45372,Locker,Location Locker/Counter,Closed,051206449-0,Fulfilled,3/8/24,3/12/24,3/21/24,Removal,Brendamour,MX,13
181466251-0,IT,,,,,Apt Locker,Dobby NA,,353941012-0,Scheduled,2/29/24,3/5/24,,Advertising,Brendamour,IT,
644676662-9,DE,,,,,Apt Locker,Dobby NA,,030511523-5,Cancelled,3/22/24,3/25/24,,Removal,NSA,DE,
430040752-5,FR,,,,,Apt Locker,Dobby NA,,485818513-3,New,1/23/24,,,Removal,Brendamour,FR,
746691721-6,IT,,,,,Locker,Location Locker/Counter,,520832657-4,Scheduled,4/1/24,4/4/24,,Decommission,Redbox,IT,
713487165-7,DE,,,,,Apt Locker,Dobby,,036826408-4,Failure,4/13/24,4/18/24,,Advertising,NSA,DE,
198192509-0,DE,,,,,Apt Locker,Dobby,Survey,355219485-1,New,5/10/24,,,Survey,Redbox,DE,
196960088-8,PT,,,,,Apt Locker,Dobby NA,,651235129-0,Scheduled,5/29/24,6/1/24,,Decommission,Redbox,PT,
265434505-X,MX,,,,,Apt Locker,Dobby NA,Survey,566357325-9,Cancelled,1/19/24,1/24/24,,Survey,Brendamour,MX,
056957928-7,MX,,,,,Locker,Location Locker/Counter NA,Compliance,479915873-2,Scheduled,2/26/24,2/29/24,,Permit,Redbox,MX,
184597575-8,JP,,,,,Locker,Location Locker/Counter NA,,523550569-7,Cancelled,4/8/24,4/12/24,,Removal,NSA,JP,
605457980-0,CA,,,,,Apt Locker Pro,Location,,005334547-9,New,5/15/24,,,Decommission,Redbox,CA,
280001817-8,PT,,45445,45445,,Locker,Location Locker/Counter NA,Closed,422258470-3,Fulfilled,5/5/24,5/9/24,6/2/24,Install,Redbox,PT,28
356796056-3,DE,,,,,Apt Locker Pro,Location,,792711042-X,Failure,5/12/24,5/13/24,,Removal,Brendamour,DE,
566322274-X,AU,,,,,Apt Locker Pro,Location,Compliance,637671742-X,Failure,2/13/24,2/18/24,,Permit,Brendamour,AU,
